n,n(n-1)/2,n*n,comparisons,swaps
538,144453,289444,143550,70173
539,144991,290521,144900,71952
540,145530,291600,145152,72548
541,146070,292681,145719,75426
542,146611,293764,146520,72996
543,147153,294849,143667,71675
544,147696,295936,147318,70657
545,148240,297025,147294,73220
546,148785,298116,147795,73532
547,149331,299209,148341,71532
548,149878,300304,149688,75395
549,150426,301401,150348,74228
550,150975,302500,150597,74855
551,151525,303601,149634,76320
552,152076,304704,151611,73605
553,152628,305809,152250,82640
554,153181,306916,152053,75527
555,153735,308025,153270,74980
556,154290,309136,153660,76543
557,154846,310249,154741,76706
558,155403,311364,155052,74019
559,155961,312481,155295,75226
560,156520,313600,156499,79335
561,157080,314721,156849,80684
562,157641,315844,157263,78278
563,158203,316969,157878,79339
564,158766,318096,158513,78344
565,159330,319225,158664,83888
566,159895,320356,158949,79716
567,160461,321489,160370,77523
568,161028,322624,161007,79708
569,161596,323761,160855,78100
570,162165,324900,162087,79227
571,162735,326041,162410,80687
572,163306,327184,163285,83118
573,163878,328329,162603,81172
574,164451,329476,163671,85999
575,165025,330625,164395,84529
576,165600,331776,165429,81569
577,166176,332929,165680,83909
578,166753,334084,166738,84009
579,167331,335241,166511,87812
580,167910,336400,167382,84038
581,168490,337561,168445,84316
582,169071,338724,167796,86775
583,169653,339889,169157,88006
584,170236,341056,170116,86727
585,170820,342225,170225,82421
586,171405,343396,171234,87879
587,171991,344569,171801,91177
588,172578,345744,172172,87556
589,173166,346921,172913,86881
590,173755,348100,173664,87711
591,174345,349281,174155,90380
592,174936,350464,174440,88062
593,175528,351649,175000,94956
594,176121,352836,175260,85123
595,176715,354025,175004,89856
596,177310,355216,176932,91123
597,177906,356409,177165,91629
598,178503,357604,177908,88208
599,179101,358801,177561,90833
600,179700,360000,177555,89768
601,180300,361201,179894,92071
602,180901,362404,180865,91276
603,181503,363609,180278,90956
604,182106,364816,181545,93475
605,182710,366025,182665,93396
606,183315,367236,182819,94220
607,183921,368449,183843,88234
608,184528,369664,184318,93173
609,185136,370881,184395,96816
610,185745,372100,185310,94877
611,186355,373321,186030,99462
612,186966,374544,186875,92524
613,187578,375769,186450,92119
614,188191,376996,187840,92416
615,188805,378225,187985,98014
616,189420,379456,189120,95496
617,190036,380689,189658,96164
618,190653,381924,190575,95239
619,191271,383161,191061,94230
620,191890,384400,191425,97054
621,192510,385641,192357,97676
622,193131,386884,190646,94548
623,193753,388129,193123,97566
624,194376,389376,193673,91645
625,195000,390625,194829,95792
626,195625,391876,194805,97418
627,196251,393129,196185,98589
628,196878,394384,195702,97676
629,197506,395641,195676,94780
630,198135,396900,198069,97554
631,198765,398161,196685,95713
632,199396,399424,198361,102978
633,200028,400689,199752,96460
634,200661,401956,199920,106736
635,201295,403225,199642,103693
636,201930,404496,201720,101268
637,202566,405769,202566,102186
638,203203,407044,201877,99064
639,203841,408321,202895,99900
640,204480,409600,204155,95892
641,205120,410881,204967,102680
642,205761,412164,205571,99306
643,206403,413449,204573,105839
644,207046,414736,206100,100783
645,207690,416025,206744,101945
646,208335,417316,208230,104931
647,208981,418609,208351,105065
648,209628,419904,209537,109088
649,210276,421201,210140,103504
650,210925,422500,209095,105798
651,211575,423801,210909,101298
652,212226,425104,211191,106198
653,212878,426409,212283,105995
654,213531,427716,213453,110119
655,214185,429025,214149,108899
656,214840,430336,214630,106154
657,215496,431649,215405,109312
658,216153,432964,215657,111378
659,216811,434281,216460,106275
660,217470,435600,217365,107103
661,218130,436921,217140,112025
662,218791,438244,218686,106536
663,219453,439569,218507,109625
664,220116,440896,219885,108470
665,220780,442225,220219,112033
666,221445,443556,221120,106044
667,222111,444889,221646,103619
668,222778,446224,221958,112820
669,223446,447561,220890,112741
670,224115,448900,223412,112743
671,224785,450241,224680,112308
672,225456,451584,225246,111086
673,226128,452929,225047,110239
674,226801,454276,226021,109912
675,227475,455625,226299,111233
676,228150,456976,225594,115969
677,228826,458329,228006,117092
678,229503,459684,229412,118815
679,230181,461041,229991,111265
680,230860,462400,230857,115637
681,231540,463761,231012,117256
682,232221,465124,231968,116585
683,232903,466489,232578,122322
684,233586,467856,233286,112423
685,234270,469225,234179,119556
686,234955,470596,234175,114330
687,235641,471969,233930,119235
688,236328,473344,235800,122603
689,237016,474721,236236,117892
690,237705,476100,237569,118534
691,238395,477481,238119,119499
692,239086,478864,238096,120461
693,239778,480249,239427,127893
694,240471,481636,240393,113996
695,241165,483025,241120,125004
696,241860,484416,240090,119032
697,242556,485809,242150,124550
698,243253,487204,243238,125238
699,243951,488601,242355,124547
700,244650,490000,243747,121941
701,245350,491401,243754,128531
702,246051,492804,245061,114735
703,246753,494209,246563,114118
704,247456,495616,246826,121853
705,248160,497025,246390,125325
706,248865,498436,248655,127629
707,249571,499849,249435,126414
708,250278,501264,249197,119041
709,250986,502681,250850,124170
710,251695,504100,250567,129597
711,252405,505521,252054,122792
712,253116,506944,252081,128611
713,253828,508369,252652,127315
714,254541,509796,254163,128974
